Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;Plazas
AKEPIKAS;CAFETERIA;C/. SAN SEBASTIAN, 14;0;38430;0;0;0;ICOD DE LOS VINOS;52
AL FARO;CAFETERIA;DEAN PALAHI, 22 (ESQ. TABARES DE CALA);0;38201;0;0;0;LA LAGUNA;50
AL FUEGO CANARIO;RESTAURANTE;VIERA Y CLAVIJO, 44 ;0;38002;377191;3149868;39;SANTA CRUZ DE TENERIFE;25
AL FUEGO CANARIO;BAR;C/. MENDEZ NUÑEZ, 20 ;0;38003;0;0;0;SANTA CRUZ DE TENERIFE;15
AL GUSTO;CAFETERIA;ACEVIÑOS, 12 (URB. LA PAZ, L-8);0;38400;0;0;0;PUERTO DE LA CRUZ;74
AL LIMITE;BAR;C/. HERACLIO SANCHEZ, 46 L-IZDO.;0;38000;0;0;0;LA LAGUNA;0
AL PALACIO DE LOS DEPORTES (AU PALAIS DES SPORTS);BAR;CONSUELO ALFONSO DIAZ, 24 ;0;38631;0;0;0;ARONA;0
AL POMODORO;RESTAURANTE;AVDA. ARZOBISPO GONZALEZ RIVAS, 28 BAJO;0;38611;0;0;0;GRANADILLA DE ABONA;0
ALABAMA´S;RESTAURANTE;LOS LLANOS (VISTA GORDA) ;0;38617;0;0;0;GRANADILLA DE ABONA;200
ALACENA, LA;RESTAURANTE;C/. EL DRAGO, 2 (URB. MIRAVERDE-C.C. HLS, L-3 DCHA. PTA. SEMISOTANO);0;38670;0;0;0;ADEJE;0
ALADDIN SUR;RESTAURANTE;AVDA CONSTITUCION - EDF. PLAZA L-2 (PLAZA CESAR MANRIQUE, L-2);0;38670;0;0;0;ADEJE;0
ALADINS;BAR;AMERICA SHOPPING, L-8 C.C. (LAS AMERICAS );0;38650;0;0;0;ARONA;0
ALAJERO;BAR;CAMINO LA HORNERA (TACO) ;0;38108;0;0;0;LA LAGUNA;0
ALAMO, EL;BAR;IRIARTE, 45 ;0;38400;0;0;0;PUERTO DE LA CRUZ;0
ALANDA TASCA;TASCA;AVDA. AFONSO CARRILLO, S/N. (EDIF. BAHIA PLAYA, L-11);0;38400;0;0;0;PUERTO DE LA CRUZ;80
AL-ANDALUS;RESTAURANTE;EL PESO, 1 ;0;38202;0;0;0;LA LAGUNA;30
A'LAREIRA;RESTAURANTE;LUIS LAVAGGI, 2 AVDA.  (EDIF. PUERTO PLAYA, L-B);0;38400;0;0;0;PUERTO DE LA CRUZ;88
ALASKA;CAFETERIA;CTRA. PROVINCIAL, 17 ;0;38390;0;0;0;SANTA URSULA;50
ALAYON;BAR;LA MARINA, 1 ;0;38639;0;0;0;GRANADILLA DE ABONA;12
ALAZAN;RESTAURANTE;SAN ROQUE, 9 (EDIF. ADELAIDA) ;0;38670;0;0;0;ARONA;22
ALAZAN;BAR;18 DE JULIO, 15 ;0;38004;0;0;0;SANTA CRUZ DE TENERIFE;24
ALBA;CAFETERIA;C/. PITERAS, 5 (EDIF. IKARUS, L-B11) URB. LA PAZ ;0;38400;0;0;0;PUERTO DE LA CRUZ;40
ALBA;RESTAURANTE;LOS SABANDEÑOS, 6 (EDIF. CHARO, BAJO) ;0;38650;0;0;0;ARONA;52
ALBATROS;BUFFETT;PLAYA PARAISO URB. ;0;38678;0;0;0;ADEJE;192
